Year,Cells,Dmax,CWTmax,TRW
1900,25,45.67582628937354,3.3211995409403405,868.245102354242
1901,59,48.85250371657598,3.490298029481992,1788.2402975561615
1902,37,45.55120591947129,4.6797586814218874,1242.799926031632
1903,39,43.50988109978947,4.714576899279315,1212.895952332713
1904,64,39.21588451696736,4.73635175507426,1717.4498353004863
1905,22,42.92546574426128,4.465904402016923,666.0554265048876
1906,5,29.064177233320965,2.3868143450845913,107.98252760401355
1907,13,40.30755908731387,2.9162373837751305,414.64004111423964
1908,20,40.21115169346616,3.8507391807724405,569.8921105606443
1909,20,42.033066881665015,3.510519609575577,629.1812200746317
1910,10,41.28399358063736,2.9773852651877304,289.3119709933227
1911,12,44.33132481504326,3.6041492414770397,387.59535450219056
1912,19,40.128584942062716,3.6602678554535815,555.2063649074578
1913,14,37.538592713150024,2.8800774397013016,395.4721789532966
1914,46,43.28020245865808,5.3781123733021,1380.482634340297
1915,26,40.29040737928595,4.684491286556914,713.5736477257686
1916,32,44.58102692690892,4.436119706490473,1047.3714154162317
1917,16,33.96015862816951,2.815339376106259,412.97367351653696
1918,56,44.350337943673004,3.960101162433534,1706.0776760088154
1919,10,35.94240773236922,2.7486778668846896,241.4106885511098
1920,13,42.83173626501093,2.8555836371048167,395.7912653717124
1921,7,32.95615240000819,3.284568175784602,166.5451777096013
1922,9,36.44437812263568,2.7241661927710643,217.622395007335
1923,13,45.7346850161194,2.422331363359141,449.1951455150628
1924,23,42.751280467650496,3.6011476725660403,621.1026574381905
1925,46,38.968713994311784,3.957684509125142,1391.8478351851224
1926,13,43.5721289361419,3.153543645020243,413.9186557333298
1927,34,36.84759804438154,3.5634326792536966,855.4895873129648
1928,11,30.55562105146431,3.508958130178492,245.84171546112603
1929,10,37.85304987185212,3.622372568005266,234.86192895681788
1930,22,29.304018748753492,3.659979582745396,477.1047215459255
1931,16,37.65261267557157,2.898783583703415,417.74538448258596
1932,8,34.31230023302145,3.122036048461043,188.32390104847556
1933,16,43.122043671473804,3.6080498794692337,507.8007097001236
1934,11,35.81363600057649,3.665081619239217,304.7845799776726
1935,6,33.313414339531,2.3524160746475484,152.4887448523914
1936,11,36.24763546808282,2.990732359490773,279.19247141969856
1937,18,35.7490975474601,3.3698686085184493,433.0964565579959
1938,18,41.339138197175615,3.062038520230801,524.3241157130925
1939,8,33.60380466015831,2.1201670146803027,203.47703038633404
1940,16,26.966238157713615,3.604689294494751,334.3332922007134
1941,23,45.5635599411391,3.213244249303906,635.4083683125255
1942,13,31.98058272317139,3.9560539744684036,286.31223609282574
1943,25,43.38059742742368,3.6891692569668337,739.4028336997923
1944,46,45.834777453614024,4.749718107424529,1483.4738783263929
1945,9,42.394136978323914,2.1417326301149453,304.804524999453
1946,53,44.348417667012264,4.164375306644054,1711.1302875536433
1947,13,41.2314105400432,2.6246957351717493,432.89754372049856
1948,11,42.715906255515456,2.3458105509371636,316.0408839840643
1949,11,36.24781386896908,3.518713551140094,290.4698469308616
1950,13,39.39371868175508,3.817066400965598,354.01220387450195
1951,12,42.47760222384949,3.591765822063968,374.7114092233735
1952,29,43.50563659677918,4.247609111916201,774.3360671382027
1953,54,47.65052239370259,4.691599060628465,1744.652127989283
1954,35,52.332949527625146,4.900992404384768,1241.5757616091132
1955,18,41.133403484013954,3.228002799434382,578.5759207497415
1956,34,44.4764981180353,4.485691948940579,961.0759092330701
1957,21,46.04621087518315,3.283781625114112,736.6727884934849
1958,13,30.624499829092862,3.2648984887270354,260.45969367325176
1959,20,40.40101648168106,3.7687112982158952,514.925764635426
1960,19,46.57794246270767,3.522932984100069,616.4182757779544
1961,7,34.39684088335933,2.8883326972974315,162.0193616790641
1962,66,39.78690066596694,4.74932796789265,1808.7622711586005
1963,32,33.144712831203165,4.763354286348434,731.4360828184965
1964,17,44.03324937200131,3.6210399890153946,543.2175773958015
1965,9,29.85233745146611,3.249257673772145,217.5973531667687
1966,27,42.145566735100026,3.221197093262812,889.652429196272
1967,36,41.284983897971706,3.02563184322733,1037.5750167929389
1968,10,41.471006319531945,2.899393325627856,314.07702021977093
1969,44,41.70568952906431,3.442223434318066,1208.9399949210472
1970,5,30.99061459478279,3.1785034727748336,98.9331923832868
1971,13,25.273456268492595,3.303703478462745,226.67698243104883
1972,15,46.67108672272,2.9580540775111994,389.38748126132816
1973,30,43.11841136260729,4.224997543562269,925.2175568585984
1974,23,45.71614525675173,3.8058919888259446,786.6115590194308
1975,32,41.41722713346816,5.321308847279695,1003.1233532959175
1976,5,29.09483282384416,2.284930498573575,80.49931277298278
1977,11,37.66684302830396,2.6179730055532904,309.73788946880455
1978,55,48.01348727548125,6.763583219556091,1762.7299298434168
1979,8,35.7857029919996,2.5270152446738745,209.98617183686125
1980,28,40.04630355001925,2.8637438800629624,787.2249979837198
1981,22,43.572965653098606,3.7733830504451467,693.6668369335091
1982,21,42.593005427058316,4.480383777553179,655.3519922193375
1983,8,36.225340672634594,3.127648489440019,196.61119835909136
1984,7,41.433239104585276,2.859542446285379,192.49060409014666
1985,10,28.262446189985404,3.1951966852635105,183.53970461166307
1986,11,38.02036964857517,2.732785729543811,325.6884210890362
1987,49,26.963793698933774,3.958909107634444,1063.105469502654
1988,30,47.85234106727612,3.737158336660721,1089.122805677919
1989,12,38.4193839810862,2.429350007724465,359.95058276763984
1990,13,47.45660473300703,3.39183053902453,410.841679541554
1991,17,33.26299965969527,4.0504957290008985,393.37263147887114
1992,58,43.8403855736503,4.174510612922814,1839.8883880898188
1993,5,36.469082466543334,2.368469319940128,122.95321090024957
1994,23,43.83159568933146,3.9585195986256663,701.8390731711596
1995,10,37.54256863994969,2.460815630682428,275.56232935822106
1996,36,46.025063454400716,4.497044183150438,1062.2911513450988
1997,8,42.35959323931567,2.403691547565915,239.6303537802402
1998,26,38.21044390216599,3.3907933939918697,697.602023714821
